tract_geoid,community_plan_area,council_district,permits_per_1000_units,pressure_score_equal_weight,quadrant
06037132002,Reseda - West Van Nuys,6,489.27,51.4,Lower pressure / High development
06037186201,Northeast Los Angeles,1,182.42,51.4,Lower pressure / High development
06037104821,Arleta - Pacoima,7,120.62,51.3,Lower pressure / Low development
06037101220,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,184.78,51.3,Lower pressure / High development
06037267700,West Los Angeles,11,126.12,51.2,Lower pressure / Low development
06037241001,Southeast Los Angeles,15,162.09,51.1,Lower pressure / High development
06037123601,Van Nuys - North Sherman Oaks,2,188.33,51.0,Lower pressure / High development
06037128500,Van Nuys - North Sherman Oaks,4,198.77,50.9,Lower pressure / High development
06037185101,Northeast Los Angeles,1,188.04,50.9,Lower pressure / High development
06037234800,West Adams - Baldwin Hills - Leimert,8,309.44,50.9,Lower pressure / High development
06037271600,Palms - Mar Vista - Del Rey,11,180.89,50.8,Lower pressure / High development
06037204820,Boyle Heights,14,180.68,50.8,Lower pressure / High development
06037132502,Reseda - West Van Nuys,3,125.46,50.8,Lower pressure / Low development
06037275102,Palms - Mar Vista - Del Rey,11,231.38,50.8,Lower pressure / High development
06037187101,Northeast Los Angeles,13,356.36,50.7,Lower pressure / High development
06037222001,South Los Angeles,10,225.39,50.7,Lower pressure / High development
06037269800,West Los Angeles,5,178.14,50.7,Lower pressure / High development
06037124700,Van Nuys - North Sherman Oaks,4,209.69,50.6,Lower pressure / High development
06037195804,Silver Lake - Echo Park - Elysian Valley,13,304.21,50.6,Lower pressure / High development
06037265702,Westwood,5,137.82,50.6,Lower pressure / Low development
06037231602,South Los Angeles,9,126.89,50.4,Lower pressure / Low development
06037187200,Silver Lake - Echo Park - Elysian Valley,13,521.0,50.2,Lower pressure / High development
06037189102,Hollywood,4,124.27,50.2,Lower pressure / Low development
06037101110,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,313.28,50.2,Lower pressure / High development
06037237402,South Los Angeles,8,179.19,50.2,Lower pressure / High development
06037232200,South Los Angeles,9,211.58,50.1,Lower pressure / High development
06037240901,Southeast Los Angeles,15,61.77,50.1,Lower pressure / Low development
06037186202,Northeast Los Angeles,1,265.61,50.0,Lower pressure / High development
06037234700,West Adams - Baldwin Hills - Leimert,8,234.85,50.0,Lower pressure / High development
06037276606,Westchester - Playa del Rey,11,36.09,50.0,Lower pressure / Low development
06037104401,Arleta - Pacoima,7,241.18,49.9,Lower pressure / High development
06037291210,Harbor Gateway,15,133.49,49.9,Lower pressure / Low development
06037104321,Arleta - Pacoima,7,123.04,49.8,Lower pressure / Low development
06037123103,North Hollywood - Valley Village,2,158.08,49.8,Lower pressure / High development
06037119003,Arleta - Pacoima,6,148.54,49.8,Lower pressure / High development
06037122000,Sun Valley - La Tuna Canyon,2,347.42,49.8,Lower pressure / High development
06037294200,Wilmington - Harbor City,15,153.95,49.8,Lower pressure / High development
06037113301,Chatsworth - Porter Ranch,12,135.34,49.7,Lower pressure / Low development
06037183101,Northeast Los Angeles,14,419.33,49.7,Lower pressure / High development
06037273600,Venice,11,319.97,49.7,Lower pressure / High development
06037115301,Northridge,12,174.01,49.7,Lower pressure / High development
06037109603,Mission Hills - Panorama City - North Hills,7,329.65,49.6,Lower pressure / High development
06037125600,North Hollywood - Valley Village,2,323.17,49.5,Lower pressure / High development
06037234200,West Adams - Baldwin Hills - Leimert,10,446.59,49.5,Lower pressure / High development
06037265201,Westwood,5,241.82,49.5,Lower pressure / High development
06037201503,Northeast Los Angeles,14,151.45,49.4,Lower pressure / High development
06037297502,San Pedro,15,96.5,49.2,Lower pressure / Low development
06037134720,Canoga Park-West Hills-Winnetka-Woodland Hills,3,162.7,49.2,Lower pressure / High development
06037265602,Westwood,5,211.85,49.2,Lower pressure / High development
06037134801,Canoga Park-West Hills-Winnetka-Woodland Hills,3,203.29,49.1,Lower pressure / High development
06037139200,Encino - Tarzana,4,229.63,49.1,Lower pressure / High development
06037271901,Palms - Mar Vista - Del Rey,11,200.98,49.0,Lower pressure / High development
06037132302,Reseda - West Van Nuys,4,162.98,49.0,Lower pressure / High development
06037131024,Reseda - West Van Nuys,3,146.34,48.9,Lower pressure / Low development
06037134423,Canoga Park-West Hills-Winnetka-Woodland Hills,12,330.66,48.9,Lower pressure / High development
06037207501,Central City,14,71.0,48.8,Lower pressure / Low development
06037294302,Wilmington - Harbor City,15,109.7,48.8,Lower pressure / Low development
06037201120,Northeast Los Angeles,14,167.39,48.7,Lower pressure / High development
06037297602,San Pedro,15,155.57,48.7,Lower pressure / High development
06037219010,West Adams - Baldwin Hills - Leimert,10,195.78,48.7,Lower pressure / High development
06037123020,Sun Valley - La Tuna Canyon,2,300.53,48.6,Lower pressure / High development
06037219700,West Adams - Baldwin Hills - Leimert,10,286.82,48.6,Lower pressure / High development
06037214700,Wilshire,5,270.55,48.6,Lower pressure / High development
06037264306,Brentwood - Pacific Palisades,11,89.05,48.6,Lower pressure / Low development
06037183300,Northeast Los Angeles,14,282.05,48.6,Lower pressure / High development
06037214000,Wilshire,5,375.46,48.6,Lower pressure / High development
06037216800,Wilshire,5,238.38,48.5,Lower pressure / High development
06037214100,Wilshire,5,297.64,48.5,Lower pressure / High development
06037181500,Northeast Los Angeles,14,320.2,48.5,Lower pressure / High development
06037275311,Palms - Mar Vista - Del Rey,11,241.39,48.4,Lower pressure / High development
06037189600,Hollywood,4,225.83,48.4,Lower pressure / High development
06037271500,Palms - Mar Vista - Del Rey,11,387.58,48.4,Lower pressure / High development
06037232300,South Los Angeles,9,209.08,48.2,Lower pressure / High development
06037186403,Northeast Los Angeles,1,249.4,48.2,Lower pressure / High development
06037201301,Northeast Los Angeles,14,211.99,48.2,Lower pressure / High development
06037275101,Palms - Mar Vista - Del Rey,11,258.19,48.2,Lower pressure / High development
06037274202,Venice,11,246.96,48.1,Lower pressure / High development
06037276608,Westchester - Playa del Rey,11,37.16,48.1,Lower pressure / Low development
06037132700,Reseda - West Van Nuys,4,305.3,48.1,Lower pressure / High development
06037131100,Reseda - West Van Nuys,6,551.12,48.1,Lower pressure / High development
06037124201,North Hollywood - Valley Village,2,379.57,48.1,Lower pressure / High development
06037231500,South Los Angeles,8,287.57,48.1,Lower pressure / High development
06037216700,Wilshire,10,331.41,48.0,Lower pressure / High development
06037204700,Boyle Heights,14,144.4,47.9,Lower pressure / Low development
06037102105,Sun Valley - La Tuna Canyon,2,427.81,47.7,Lower pressure / High development
06037113323,Chatsworth - Porter Ranch,12,77.97,47.7,Lower pressure / Low development
06037143602,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,178.43,47.6,Lower pressure / High development
06037104204,Arleta - Pacoima,7,167.12,47.5,Lower pressure / High development
06037103102,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,364.0,47.5,Lower pressure / High development
06037134901,Reseda - West Van Nuys,3,488.64,47.5,Lower pressure / High development
06037197200,Silver Lake - Echo Park - Elysian Valley,13,360.46,47.5,Lower pressure / High development
06037106520,Sylmar,7,177.34,47.4,Lower pressure / High development
06037187300,Silver Lake - Echo Park - Elysian Valley,13,359.2,47.3,Lower pressure / High development
06037195201,Hollywood,4,225.83,47.1,Lower pressure / High development
06037237300,South Los Angeles,8,231.5,47.0,Lower pressure / High development
06037201501,Northeast Los Angeles,14,251.19,47.0,Lower pressure / High development
06037104103,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,294.58,47.0,Lower pressure / High development
06037275400,Palms - Mar Vista - Del Rey,11,166.67,47.0,Lower pressure / High development
06037189400,Hollywood,4,325.56,47.0,Lower pressure / High development
06037104704,Arleta - Pacoima,7,70.98,46.9,Lower pressure / Low development
06037216301,Wilshire,5,149.57,46.8,Lower pressure / High development
06037236400,West Adams - Baldwin Hills - Leimert,8,261.89,46.8,Lower pressure / High development
06037271100,West Los Angeles,5,397.5,46.8,Lower pressure / High development
06037143302,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,158.39,46.7,Lower pressure / High development
06037267202,West Los Angeles,5,106.51,46.6,Lower pressure / Low development
06037800204,Canoga Park-West Hills-Winnetka-Woodland Hills,3,85.31,46.5,Lower pressure / Low development
06037296300,San Pedro,15,128.8,46.5,Lower pressure / Low development
06037119400,Arleta - Pacoima,6,298.14,46.4,Lower pressure / High development
06037121600,Sun Valley - La Tuna Canyon,2,441.54,46.3,Lower pressure / High development
06037183620,Northeast Los Angeles,1,220.57,46.3,Lower pressure / High development
06037186100,Northeast Los Angeles,13,330.75,46.3,Lower pressure / High development
06037271704,Palms - Mar Vista - Del Rey,5,90.14,46.2,Lower pressure / Low development
06037106020,Sylmar,7,330.1,46.1,Lower pressure / High development
06037264303,Brentwood - Pacific Palisades,11,70.13,46.0,Lower pressure / Low development
06037185202,Northeast Los Angeles,1,280.75,45.9,Lower pressure / High development
06037183401,Northeast Los Angeles,1,379.51,45.9,Lower pressure / High development
06037139001,Encino - Tarzana,4,321.47,45.9,Lower pressure / High development
06037265701,Westwood,5,152.08,45.7,Lower pressure / High development
06037104620,Arleta - Pacoima,7,187.77,45.6,Lower pressure / High development
06037134421,Canoga Park-West Hills-Winnetka-Woodland Hills,12,345.0,45.5,Lower pressure / High development
06037264103,Brentwood - Pacific Palisades,11,131.5,45.5,Lower pressure / Low development
06037113423,Chatsworth - Porter Ranch,3,156.68,45.5,Lower pressure / High development
06037195400,Silver Lake - Echo Park - Elysian Valley,13,347.18,45.5,Lower pressure / High development
06037197410,Silver Lake - Echo Park - Elysian Valley,13,301.46,45.4,Lower pressure / High development
06037183702,Northeast Los Angeles,14,224.56,45.4,Lower pressure / High development
06037121010,Sun Valley - La Tuna Canyon,2,364.36,45.3,Lower pressure / High development
06037117202,Mission Hills - Panorama City - North Hills,12,246.73,45.3,Lower pressure / High development
06037206051,Central City North,14,13.11,45.3,Lower pressure / Low development
06037201601,Northeast Los Angeles,14,208.67,45.2,Lower pressure / High development
06037143401,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,134.02,45.2,Lower pressure / Low development
06037128400,Van Nuys - North Sherman Oaks,4,363.49,45.2,Lower pressure / High development
06037276605,Westchester - Playa del Rey,11,38.24,45.0,Lower pressure / Low development
06037119004,Arleta - Pacoima,6,112.14,45.0,Lower pressure / Low development
06037106510,Sylmar,7,123.36,44.8,Lower pressure / Low development
06037101400,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,280.37,44.8,Lower pressure / High development
06037201602,Northeast Los Angeles,14,261.09,44.8,Lower pressure / High development
06037141202,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,192.13,44.8,Lower pressure / High development
06037192410,Wilshire,13,240.54,44.8,Lower pressure / High development
06037117101,Mission Hills - Panorama City - North Hills,7,108.67,44.7,Lower pressure / Low development
06037293301,Wilmington - Harbor City,15,200.0,44.6,Lower pressure / High development
06037181400,Northeast Los Angeles,14,190.97,44.6,Lower pressure / High development
06037111303,Granada Hills - Knollwood,12,200.81,44.6,Lower pressure / High development
06037270300,West Adams - Baldwin Hills - Leimert,10,347.69,44.6,Lower pressure / High development
06037104403,Arleta - Pacoima,7,185.57,44.4,Lower pressure / High development
06037111205,Northridge,12,219.84,44.4,Lower pressure / High development
06037201200,Northeast Los Angeles,14,180.05,44.4,Lower pressure / High development
06037104824,Arleta - Pacoima,7,139.68,44.4,Lower pressure / Low development
06037183221,Northeast Los Angeles,14,366.78,44.3,Lower pressure / High development
06037143402,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,169.47,44.3,Lower pressure / High development
06037201402,Northeast Los Angeles,14,240.74,44.3,Lower pressure / High development
06037119900,Mission Hills - Panorama City - North Hills,6,340.03,44.3,Lower pressure / High development
06037106645,Granada Hills - Knollwood,12,382.42,44.2,Lower pressure / High development
06037121802,Sun Valley - La Tuna Canyon,6,324.97,44.2,Lower pressure / High development
06037217001,Wilshire,5,296.88,44.1,Lower pressure / High development
06037119202,Arleta - Pacoima,6,210.94,44.0,Lower pressure / High development
06037139600,Encino - Tarzana,4,269.26,44.0,Lower pressure / High development
06037297002,San Pedro,15,98.13,44.0,Lower pressure / Low development
06037294301,Wilmington - Harbor City,15,200.31,43.9,Lower pressure / High development
06037272100,Palms - Mar Vista - Del Rey,11,328.12,43.9,Lower pressure / High development
06037199110,Northeast Los Angeles,14,180.05,43.9,Lower pressure / High development
06037271703,Palms - Mar Vista - Del Rey,5,88.76,43.8,Lower pressure / Low development
06037104610,Arleta - Pacoima,7,190.88,43.7,Lower pressure / High development
06037195500,Silver Lake - Echo Park - Elysian Valley,13,317.42,43.6,Lower pressure / High development
06037111202,Granada Hills - Knollwood,12,359.41,43.6,Lower pressure / High development
06037109400,Mission Hills - Panorama City - North Hills,7,218.8,43.6,Lower pressure / High development
06037131802,Reseda - West Van Nuys,4,210.01,43.4,Lower pressure / High development
06037133101,Reseda - West Van Nuys,3,347.83,43.4,Lower pressure / High development
06037189802,Hollywood,13,89.53,43.3,Lower pressure / Low development
06037186302,Northeast Los Angeles,1,320.22,43.3,Lower pressure / High development
06037273200,Venice,11,236.59,43.3,Lower pressure / High development
06037267102,West Los Angeles,5,162.41,43.2,Lower pressure / High development
06037235100,West Adams - Baldwin Hills - Leimert,8,425.49,43.2,Lower pressure / High development
06037109500,Arleta - Pacoima,7,219.63,43.2,Lower pressure / High development
06037272301,Palms - Mar Vista - Del Rey,11,239.79,43.1,Lower pressure / High development
06037267800,West Los Angeles,5,247.79,43.0,Lower pressure / High development
06037103401,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,131.92,43.0,Lower pressure / Low development
06037111206,Northridge,12,443.19,42.9,Lower pressure / High development
06037135111,Canoga Park-West Hills-Winnetka-Woodland Hills,3,328.34,42.9,Lower pressure / High development
06037111401,Granada Hills - Knollwood,12,217.2,42.9,Lower pressure / High development
06037139502,Encino - Tarzana,3,301.25,42.8,Lower pressure / High development
06037104322,Arleta - Pacoima,7,95.65,42.8,Lower pressure / Low development
06037199300,Northeast Los Angeles,1,303.28,42.5,Lower pressure / High development
06037273902,Venice,11,228.8,42.3,Lower pressure / High development
06037106641,Granada Hills - Knollwood,12,351.83,42.2,Lower pressure / High development
06037111100,Granada Hills - Knollwood,12,403.83,42.2,Lower pressure / High development
06037183104,Northeast Los Angeles,14,324.42,42.1,Lower pressure / High development
06037106649,Sylmar,7,247.04,41.8,Lower pressure / High development
06037264102,Brentwood - Pacific Palisades,11,142.25,41.8,Lower pressure / Low development
06037275603,Palms - Mar Vista - Del Rey,11,292.24,41.7,Lower pressure / High development
06037131600,Reseda - West Van Nuys,3,422.69,41.7,Lower pressure / High development
06037143101,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,152.61,41.7,Lower pressure / High development
06037201504,Northeast Los Angeles,14,196.14,41.7,Lower pressure / High development
06037131200,Reseda - West Van Nuys,12,437.55,41.6,Lower pressure / High development
06037135202,Canoga Park-West Hills-Winnetka-Woodland Hills,12,488.39,41.6,Lower pressure / High development
06037264305,Brentwood - Pacific Palisades,11,104.41,41.5,Lower pressure / Low development
06037106403,Sylmar,7,281.4,41.4,Lower pressure / High development
06037113428,Chatsworth - Porter Ranch,3,188.34,41.4,Lower pressure / High development
06037269700,West Adams - Baldwin Hills - Leimert,10,293.33,41.3,Lower pressure / High development
06037183222,Northeast Los Angeles,14,279.77,41.2,Lower pressure / High development
06037137203,Canoga Park-West Hills-Winnetka-Woodland Hills,3,318.18,41.2,Lower pressure / High development
06037113322,Chatsworth - Porter Ranch,12,321.0,41.2,Lower pressure / High development
06037243002,Southeast Los Angeles,15,111.94,41.2,Lower pressure / Low development
06037121210,Sun Valley - La Tuna Canyon,6,227.27,41.2,Lower pressure / High development
06037128910,Van Nuys - North Sherman Oaks,4,297.15,41.1,Lower pressure / High development
06037113101,Chatsworth - Porter Ranch,12,330.34,41.1,Lower pressure / High development
06037181600,Northeast Los Angeles,14,313.04,41.1,Lower pressure / High development
06037275604,Westchester - Playa del Rey,11,39.63,41.0,Lower pressure / Low development
06037195902,Silver Lake - Echo Park - Elysian Valley,13,275.4,41.0,Lower pressure / High development
06037296401,San Pedro,15,157.89,40.9,Lower pressure / High development
06037273700,Venice,11,357.61,40.9,Lower pressure / High development
06037297300,San Pedro,15,160.45,40.8,Lower pressure / High development
06037199202,Northeast Los Angeles,1,200.21,40.7,Lower pressure / High development
06037119802,Arleta - Pacoima,6,136.14,40.7,Lower pressure / Low development
06037183510,Northeast Los Angeles,1,343.25,40.6,Lower pressure / High development
06037109700,Granada Hills - Knollwood,12,393.2,40.6,Lower pressure / High development
06037271300,Palms - Mar Vista - Del Rey,11,317.48,40.5,Lower pressure / High development
06037291130,Harbor Gateway,15,192.82,40.5,Lower pressure / High development
06037275313,Palms - Mar Vista - Del Rey,11,140.43,40.4,Lower pressure / Low development
06037103402,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,181.7,40.4,Lower pressure / High development
06037119001,Sun Valley - La Tuna Canyon,6,218.27,40.4,Lower pressure / High development
06037104124,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,186.32,40.3,Lower pressure / High development
06037109604,Mission Hills - Panorama City - North Hills,7,290.25,40.2,Lower pressure / High development
06037276500,Westchester - Playa del Rey,11,367.67,40.2,Lower pressure / High development
06037104201,Arleta - Pacoima,7,221.35,40.1,Lower pressure / High development
06037101122,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,301.65,40.1,Lower pressure / High development
06037189202,Hollywood,4,327.84,40.1,Lower pressure / High development
06037139402,Encino - Tarzana,3,499.52,40.0,Lower pressure / High development
06037143902,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,295.11,39.9,Lower pressure / High development
06037293204,Harbor Gateway,15,124.1,39.8,Lower pressure / Low development
06037188300,Northeast Los Angeles,13,418.46,39.8,Lower pressure / High development
06037234001,West Adams - Baldwin Hills - Leimert,10,277.73,39.7,Lower pressure / High development
06037106603,Granada Hills - Knollwood,12,253.29,39.7,Lower pressure / High development
06037109601,Mission Hills - Panorama City - North Hills,7,303.83,39.6,Lower pressure / High development
06037192002,Hollywood,5,318.94,39.6,Lower pressure / High development
06037236001,West Adams - Baldwin Hills - Leimert,10,167.66,39.5,Lower pressure / High development
06037188202,Hollywood,4,304.83,39.4,Lower pressure / High development
06037297001,San Pedro,15,150.16,39.4,Lower pressure / High development
06037134303,Canoga Park-West Hills-Winnetka-Woodland Hills,3,238.7,39.4,Lower pressure / High development
06037134302,Canoga Park-West Hills-Winnetka-Woodland Hills,12,359.23,39.3,Lower pressure / High development
06037194200,Hollywood,4,530.1,39.2,Lower pressure / High development
06037106113,Sylmar,7,246.63,39.2,Lower pressure / High development
06037183220,Northeast Los Angeles,14,234.35,38.9,Lower pressure / High development
06037128704,Van Nuys - North Sherman Oaks,4,204.85,38.9,Lower pressure / High development
06037195202,Hollywood,4,387.35,38.9,Lower pressure / High development
06037133000,Reseda - West Van Nuys,3,346.68,38.8,Lower pressure / High development
06037134101,Canoga Park-West Hills-Winnetka-Woodland Hills,3,284.53,38.8,Lower pressure / High development
06037108102,Chatsworth - Porter Ranch,12,379.97,38.7,Lower pressure / High development
06037201110,Northeast Los Angeles,14,264.06,38.7,Lower pressure / High development
06037137401,Canoga Park-West Hills-Winnetka-Woodland Hills,3,377.02,38.5,Lower pressure / High development
06037113213,Chatsworth - Porter Ranch,12,196.34,38.3,Lower pressure / High development
06037189704,Hollywood,4,128.07,38.3,Lower pressure / Low development
06037216901,Wilshire,10,244.4,38.2,Lower pressure / High development
06037125102,North Hollywood - Valley Village,2,204.74,38.1,Lower pressure / High development
06037295103,San Pedro,15,100.59,38.1,Lower pressure / Low development
06037267901,West Los Angeles,5,269.81,38.1,Lower pressure / High development
06037275312,Palms - Mar Vista - Del Rey,11,116.74,37.9,Lower pressure / Low development
06037143802,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,231.76,37.8,Lower pressure / High development
06037113424,Chatsworth - Porter Ranch,12,200.61,37.7,Lower pressure / High development
06037108103,Chatsworth - Porter Ranch,12,303.15,37.6,Lower pressure / High development
06037216100,Wilshire,10,358.7,37.6,Lower pressure / High development
06037276601,Westchester - Playa del Rey,11,344.9,37.4,Lower pressure / High development
06037109300,Granada Hills - Knollwood,12,424.64,37.4,Lower pressure / High development
06037135201,Canoga Park-West Hills-Winnetka-Woodland Hills,12,439.57,37.4,Lower pressure / High development
06037106405,Sylmar,7,82.57,37.3,Lower pressure / Low development
06037194102,Hollywood,4,474.03,37.2,Lower pressure / High development
06037267902,West Los Angeles,5,283.02,37.2,Lower pressure / High development
06037135205,Canoga Park-West Hills-Winnetka-Woodland Hills,12,160.05,37.1,Lower pressure / High development
06037276000,Westchester - Playa del Rey,11,350.13,37.1,Lower pressure / High development
06037293302,Wilmington - Harbor City,15,183.66,36.9,Lower pressure / High development
06037119700,Mission Hills - Panorama City - North Hills,6,303.75,36.8,Lower pressure / High development
06037132001,Reseda - West Van Nuys,6,419.46,36.7,Lower pressure / High development
06037143500,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,239.95,36.5,Lower pressure / High development
06037117404,Mission Hills - Panorama City - North Hills,12,341.46,36.4,Lower pressure / High development
06037181000,Northeast Los Angeles,14,442.51,36.2,Lower pressure / High development
06037277000,Westchester - Playa del Rey,11,452.0,36.2,Lower pressure / High development
06037117302,Northridge,12,320.33,36.2,Lower pressure / High development
06037278102,Westchester - Playa del Rey,11,263.06,36.1,Lower pressure / High development
06037106646,Granada Hills - Knollwood,12,397.04,36.0,Lower pressure / High development
06037181300,Northeast Los Angeles,14,361.93,36.0,Lower pressure / High development
06037121221,Sun Valley - La Tuna Canyon,6,232.65,35.7,Lower pressure / High development
06037291300,Harbor Gateway,15,234.47,35.7,Lower pressure / High development
06037211000,Wilshire,4,352.22,35.5,Lower pressure / High development
06037219500,West Adams - Baldwin Hills - Leimert,10,466.52,35.5,Lower pressure / High development
06037119801,Arleta - Pacoima,6,168.54,35.4,Lower pressure / High development
06037262604,Brentwood - Pacific Palisades,11,647.94,35.3,Lower pressure / High development
06037271400,Palms - Mar Vista - Del Rey,11,512.08,35.3,Lower pressure / High development
06037262706,Brentwood - Pacific Palisades,11,782.99,35.1,Lower pressure / High development
06037119201,Arleta - Pacoima,6,251.41,34.8,Lower pressure / High development
06037135204,Canoga Park-West Hills-Winnetka-Woodland Hills,12,293.63,34.6,Lower pressure / High development
06037113211,Chatsworth - Porter Ranch,12,146.97,34.5,Lower pressure / Low development
06037277100,Westchester - Playa del Rey,11,451.06,34.4,Lower pressure / High development
06037106010,Sylmar,7,199.59,34.4,Lower pressure / High development
06037107010,Sylmar,7,237.31,33.9,Lower pressure / High development
06037102104,Sun Valley - La Tuna Canyon,2,276.45,33.8,Lower pressure / High development
06037101300,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,323.53,33.6,Lower pressure / High development
06037262802,Brentwood - Pacific Palisades,11,473.53,33.5,Lower pressure / High development
06037113303,Chatsworth - Porter Ranch,12,298.68,33.3,Lower pressure / High development
06037108202,Chatsworth - Porter Ranch,12,523.34,33.3,Lower pressure / High development
06037104310,Arleta - Pacoima,7,186.02,33.1,Lower pressure / High development
06037111201,Granada Hills - Knollwood,12,490.51,33.0,Lower pressure / High development
06037131300,Reseda - West Van Nuys,4,369.26,32.8,Lower pressure / High development
06037137502,Canoga Park-West Hills-Winnetka-Woodland Hills,3,408.61,32.7,Lower pressure / High development
06037134422,Canoga Park-West Hills-Winnetka-Woodland Hills,12,423.08,32.4,Lower pressure / High development
06037273100,Venice,11,316.03,32.4,Lower pressure / High development
06037296402,San Pedro,15,261.27,32.4,Lower pressure / High development
06037262704,Brentwood - Pacific Palisades,11,438.83,32.3,Lower pressure / High development
06037262400,Brentwood - Pacific Palisades,11,662.04,32.3,Lower pressure / High development
06037106112,Sylmar,7,208.25,32.2,Lower pressure / High development
06037106406,Sylmar,7,169.91,32.2,Lower pressure / High development
06037117301,Mission Hills - Panorama City - North Hills,12,398.97,32.1,Lower pressure / High development
06037113231,Chatsworth - Porter Ranch,12,309.34,32.0,Lower pressure / High development
06037131900,Reseda - West Van Nuys,6,381.22,31.9,Lower pressure / High development
06037134201,Canoga Park-West Hills-Winnetka-Woodland Hills,3,309.32,31.9,Lower pressure / High development
06037185102,Northeast Los Angeles,1,185.53,31.8,Lower pressure / High development
06037103101,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,379.62,31.7,Lower pressure / High development
06037185204,Northeast Los Angeles,1,381.58,31.6,Lower pressure / High development
06037102107,Sun Valley - La Tuna Canyon,7,287.65,31.3,Lower pressure / High development
06037293306,Wilmington - Harbor City,15,200.67,31.0,Lower pressure / High development
06037139301,Encino - Tarzana,3,538.7,30.9,Lower pressure / High development
06037103300,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,364.33,30.9,Lower pressure / High development
06037108203,Chatsworth - Porter Ranch,12,124.17,30.5,Lower pressure / Low development
06037113237,Chatsworth - Porter Ranch,12,194.61,30.5,Lower pressure / High development
06037143700,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,418.3,30.4,Lower pressure / High development
06037261200,Bel Air - Beverly Crest,5,451.84,30.4,Lower pressure / High development
06037139704,Encino - Tarzana,4,278.58,30.4,Lower pressure / High development
06037297400,San Pedro,15,260.14,29.8,Lower pressure / High development
06037195100,Silver Lake - Echo Park - Elysian Valley,4,384.05,29.5,Lower pressure / High development
06037143801,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,174.87,29.2,Lower pressure / High development
06037186203,Northeast Los Angeles,1,488.85,28.5,Lower pressure / High development
06037109200,Granada Hills - Knollwood,12,287.85,28.3,Lower pressure / High development
06037115101,Northridge,12,352.43,28.1,Lower pressure / High development
06037292002,Harbor Gateway,15,157.8,28.1,Lower pressure / High development
06037269000,West Los Angeles,5,276.82,27.9,Lower pressure / High development
06037262200,Bel Air - Beverly Crest,5,488.88,27.8,Lower pressure / High development
06037297501,San Pedro,15,197.08,27.5,Lower pressure / High development
06037137104,Canoga Park-West Hills-Winnetka-Woodland Hills,3,589.69,27.4,Lower pressure / High development
06037137402,Canoga Park-West Hills-Winnetka-Woodland Hills,3,348.28,27.3,Lower pressure / High development
06037261104,Bel Air - Beverly Crest,5,315.58,27.2,Lower pressure / High development
06037106642,Granada Hills - Knollwood,12,374.9,26.9,Lower pressure / High development
06037201302,Northeast Los Angeles,14,83.41,26.8,Lower pressure / Low development
06037143901,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,504.45,26.6,Lower pressure / High development
06037265410,Brentwood - Pacific Palisades,11,350.85,26.0,Lower pressure / High development
06037138000,Canoga Park-West Hills-Winnetka-Woodland Hills,3,409.84,25.7,Lower pressure / High development
06037141600,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,474.38,25.1,Lower pressure / High development
06037135102,Canoga Park-West Hills-Winnetka-Woodland Hills,12,392.94,24.9,Lower pressure / High development
06037139701,Encino - Tarzana,4,405.3,24.7,Lower pressure / High development
06037137301,Canoga Park-West Hills-Winnetka-Woodland Hills,3,604.34,24.5,Lower pressure / High development
06037137000,Canoga Park-West Hills-Winnetka-Woodland Hills,3,289.77,24.4,Lower pressure / High development
06037189300,Hollywood,4,479.54,24.3,Lower pressure / High development
06037700600,Bel Air - Beverly Crest,4,0.96,24.1,Lower pressure / Low development
06037108204,Chatsworth - Porter Ranch,12,56.23,24.1,Lower pressure / Low development
